benchmark,run,result
skipped,baseline,4
skipped,myopt,3
double,baseline,6
double,myopt,2
simple,baseline,5
simple,myopt,2
reassign,baseline,3
reassign,myopt,2
double-pass,baseline,missing
double-pass,myopt,missing
diamond,baseline,6
diamond,myopt,6
combo,baseline,missing
combo,myopt,missing
reassign-dkp,baseline,missing
reassign-dkp,myopt,missing
